auction_id,titulo,cat,pais,retail,piezas,puja_actual,recuperacion,ingreso_esperado,puja_max,margen_para_pujar,sell_through,rotacion_d,calidad,match
51529,"Small Truckload of Floorcare, Hot Beverage Mak","Floorcare, Hot Beverage Makers",DE,62446.0,872.0,7913.0,26.38146042823808,16474.166779017552,3745.42,-4167.58,78.84961780065088,386.0,datos,Floorcare(exacta); Hot Beverage Makers(exacta)
51501,"Truckload of Housewares, Lighting & More, 1,44","Housewares, Lighting",PL,47749.0,1448.0,3580.0,24.75981342827433,11822.563313866709,2372.98,-1207.02,51.082187364200905,364.0,datos,Housewares(exacta); Lighting(exacta)
51477,"4 Pallets of Home Improvement, Auto Goods & Mo","Home Improvement, Auto Goods",IT,28113.0,662.0,1850.0,19.10405129047176,5370.721939290326,631.72,-1218.28,47.873179224038154,371.0,datos,Home Improvement(depto); Spare & Repair Parts Car & Truck(alias)
51442,"Small Truckload of Floorcare, Hot Beverage Mak","Floorcare, Hot Beverage Makers",ES,43267.0,349.0,3580.0,26.38146042823808,11414.46648348577,2466.33,-1113.67,78.84961780065088,386.0,datos,Floorcare(exacta); Hot Beverage Makers(exacta)
51530,"4 Pallets of Floorcare, Hot Beverage Makers & ","Floorcare, Hot Beverage Makers",DE,26812.0,152.0,3225.0,26.38146042823808,7073.397170019194,1023.43,-2201.57,78.84961780065088,386.0,datos,Floorcare(exacta); Hot Beverage Makers(exacta)
50908,"4 Pallets of Wearables, Printing Consumables &","Wearables, Printing Consumables",UK,,1244.0,,14.91586712965543,,,,50.76476984414643,287.0,datos,Wearables(exacta); Printing Consumables(exacta)
51566,"4 Pallets of Housewares, Lighting & More, 664 ","Housewares, Lighting",IT,16274.0,664.0,899.0,24.75981342827433,4029.4120373173646,292.64,-606.36,51.082187364200905,364.0,datos,Housewares(exacta); Lighting(exacta)
51532,"4 Pallets of Cycling, Sports Technology & More","Cycling, Sports Technology",DE,27167.0,526.0,4700.0,15.928207193709977,4327.216048315189,329.2,-4370.8,54.76190476190476,216.25,datos,Cycling(exacta); Sports Technology(exacta)
51467,"Small Truckload of Kitchen, Home Goods & More,","Kitchen, Home Goods",ES,31212.0,673.0,2275.0,24.889899174002412,7768.635330189632,1544.66,-730.3399999999999,75.06127450980392,400.0,datos,Kitchen(depto)
51507,"Truckload of Video Games, Office Products & Mo","Video Games, Office Products",PL,99852.0,993.0,13050.0,10.136792413347841,10121.789960576087,1943.02,-11106.98,0.0,29.0,datos,Video Games(depto)
51400,"Small Truckload of Sporting Goods, Luggage & M","Sporting Goods, Luggage",ES,22225.0,303.0,2325.0,36.447980917338654,8100.563758878516,1628.57,-696.4300000000001,75.0,272.5,datos,Exercise & Fitness(alias); Luggage(exacta)
